;Company;Job;Location;Salary;Salary_2;Sal_avg
574;Workbridge Associates;Senior Data Engineer- Algorithms Platform;San Francisco, CA;150000;200000;175000
603;San Francisco Department of Public Health;Manager I - Chief Microbiologist ;San Francisco, CA;98202;125346;111774
609;Jobspring Partners;Data Scientist;Redwood City, CA;150000;170000;160000
655;Workbridge Associates;Senior Data Scientist;San Francisco, CA;140000;180000;160000
663;University of California Berkeley;Research Analyst 5;Berkeley, CA;93000;97000;95000
672;Jobspring Partners;Automation Engineering Manager (Mechanical/Hardware - Medica...;Redwood City, CA;140000;165000;152500
733;Workbridge Associates;Staff Engineer, Machine Learning;San Francisco, CA;165000;195000;180000
748;Averity;Executive Director of Data Engineering;San Francisco, CA;180000;230000;205000
870;Workbridge Associates;Lead Data Analyst (Machine Learning Operations) - Autonomous...;Berkeley, CA;140000;170000;155000
885;All-In Analytics;Sr. Machine Learning Data Scientist;San Francisco, CA;120000;150000;135000
896;Workbridge Associates;Lead Data Scientist (Life Sciences);San Francisco, CA;150000;180000;165000
903;University of California Berkeley;Office Manager, Energy Institute at Haas ,;Berkeley, CA;65000;75000;70000
954;Workbridge Associates;Data Scientist;San Francisco, CA;135000;180000;157500
985;Workbridge Associates;Data Engineer (Python);San Francisco, CA;140000;160000;150000
4;JE Compliance;JIRA Business System Analyst;Austin, TX 78701 (Downtown area);45000;55000;50000
36;Lighthouse Recruiting;LCMS Certifying Scientist;Austin, TX;60000;80000;70000
76;3coast;Data Scientist;Austin, TX;140000;160000;150000
131;Volt Workforce Solutions;Machine Learning Engineer;Austin, TX;120000;150000;135000
132;XOR Data Exchange;Senior Software Engineer/Team Lead;Austin, TX;90000;0;90000
196;Lighthouse Recruiting;Healthcare Billing / RCM Supervisor;Austin, TX;55000;70000;62500
204;Smith Arnold Partners;Research Analyst;Austin, TX;50000;65000;57500
210;a-tune software Inc.;Project Manager;Leander, TX 78645;85000;0;85000
238;All-In Analytics;Senior Machine Learning Data Scientist;Austin, TX;140000;160000;150000
5;Prime 8 Consulting;Software Development Engineer, Machine Learning;Bellevue, WA 98004 (Downtown area);160000;0;160000
47;Smith Arnold Partners;Research Analyst;Seattle, WA;50000;65000;57500
55;HERO.Jobs;Machine Learning Engineer - Big Data, Python, R;Seattle, WA;160000;0;160000
92;NextGen Global Resources LLC;Machine Learning (SDE);Bellevue, WA;170000;0;170000
182;Cutting Edge Medical Diagnostics;Sr. Data Scientist / Machine Learning (In-vitro dx, Imaging);Seattle, WA;140000;0;140000
238;All-In Analytics;Business Intelligence Scientist;Seattle, WA;100000;150000;125000
261;State of Washington;Extractions Technician (Laboratory Technician 2);Port Orchard, WA;37680;49308;43494
452;Dynamic Staffing Inc.;Data Scientist-Software Engineer;Seattle, WA;125000;0;125000
650;Harvey Nash USA;Data Scientist - Engineering;Seattle, WA;120000;130000;125000
716;G2 Web Services, LLC;Research and Investigation Analyst;Bellevue, WA 98004 (Downtown area);35000;0;35000
816;Liberty Mutual Insurance;Assistant Director¸ Data Science;Seattle, WA;109900;126100;118000
913;State of Washington;TMDL Lead (Environmental Specialist 4);Bellevue, WA;48060;63036;55548
122;Los Angeles County Department of Human Resources;RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH;Los Angeles, CA;50010;62134;56072
156;Creative Circle;Analyst/Data Scientist (Offline Media) - Full-time;Los Angeles, CA;100000;0;100000
176;Workbridge Associates;Software Engineer (Machine Learning/Algorithm Development;Burbank, CA;80000;130000;105000
196;QYResearch;Automotive industry market research analyst;Rowland Heights, CA 91748;50000;0;50000
201;Traffk;Lead C# developer for cloud healthcare platform;Los Angeles, CA 90021;130000;0;130000
207;Los Angeles County Human Resources;CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES;Los Angeles, CA;73107;95884;84495
268;Los Angeles County Human Resources;RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH;Los Angeles, CA;50010;62134;56072
271;Phillips Graduate University;Research Analyst;Chatsworth, CA 91311;50000;60000;55000
272;Los Angeles County Department of Human Resources;MEDICAL TECHNOLOGIST, DATA SYSTEMS;Los Angeles, CA;76804;100726;88765
378;HIRECLOUT;Data Engineer;Culver City, CA 90230;100000;160000;130000
393;Selby Jennings;Quantitative Analyst - Credit Risk;Los Angeles, CA;120000;0;120000
400;Los Angeles County Human Resources;SENIOR STATISTICAL CLERK;Los Angeles, CA;36339;48794;42566
403;Los Angeles County Department of Human Resources;SENIOR STATISTICAL CLERK;Los Angeles, CA;36339;48794;42566
415;Altair Engineering;Aerospace Program Manager;Cypress, CA;88000;0;88000
433;Los Angeles Unified School District;Director of Research and Data Analysis for the Board of Educ...;Los Angeles, CA;94900;0;94900
455;QYResearch;Market Research Analyst;Rowland Heights, CA 91748;50000;0;50000
520;Los Angeles County Department of Human Resources;CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES;Los Angeles, CA;73107;95884;84495
558;Los Angeles County Department of Human Resources;SUPERVISING CLINICAL LABORATORY SCIENTIST III;Los Angeles, CA;84336;110616;97476
568;QYResearch;Chemical Industry Market Research Analyst;Rowland Heights, CA 91748;60000;0;60000
622;Selby Jennings;Quantitative Analyst - Multiple Vacancies;Los Angeles, CA;120000;0;120000
628;Los Angeles County Human Resources;SUPERVISING CLINICAL LABORATORY SCIENTIST III;Los Angeles, CA;84336;110616;97476
683;LT;Senior Data Scientist;Los Angeles, CA;180000;0;180000
737;Los Angeles County Department of Human Resources;HUMAN RESOURCES ANALYST IV - Test Research;Los Angeles, CA;90598;118819;104708
778;Lighthouse Recruiting;LC/MS Clinical Laboratory Scientist;Pasadena, CA;80000;110000;95000
883;Tessie Cleveland Community Service Corporation;Senior Research Analyst;Los Angeles, CA;56000;0;56000
941;Los Angeles County Department of Human Resources;RESEARCH ANALYST II, BEHAVIORAL SCIENCES;Los Angeles, CA;57274;71152;64213
15;Public Health Management Corporation;Research Scientist - Research & Evaluation Group;Philadelphia, PA;70000;0;70000
19;All-In Analytics;Auto Risk Data Scientist;Philadelphia, PA;100000;125000;112500
40;Averity;Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...;Philadelphia, PA;200000;300000;250000
78;Audigent;Senior Full-Stack Engineer;Philadelphia, PA;90000;120000;105000
143;JUNO Search Partners;Full Stack Software Engineer;Philadelphia, PA 19107 (City Center East area);100000;0;100000
164;Liberty Personnel Services;Quantitative Research Analyst;Philadelphia, PA;140000;0;140000
167;FIS Global;RISC Business Analyst II - data analysis;Voorhees, NJ;55000;0;55000
189;Workbridge Associates;Algorithm and Optimization Developer;Radnor, PA;100000;120000;110000
205;3coast;Quant Research Analyst;Philadelphia, PA;90000;150000;120000
297;Penfield Search Partners;Sr. Director, Statistical Innovation;Philadelphia, PA;220000;0;220000
345;The Big Game Hunter;Quantitative Research Analyst Bala Cynwyd PA;Bala-Cynwyd, PA;100000;150000;125000
348;Smith Hanley Associates;Sr. Mgr./Mgr., Statistician-SFE --PHARMA;King of Prussia, PA;100000;120000;110000
399;S & S Professional Services;Certifying Scientist;Mount Laurel, NJ;65000;80000;72500
406;Liberty Personnel Services;Data Scientist - SQL SAS Xeno R;Wilmington, DE;130000;0;130000
426;JUNO Search Partners;UI/UX Engineer (D3.js);Philadelphia, PA 19107 (City Center East area);100000;0;100000
436;Workbridge Associates;Python Developer-Machine Learning;Philadelphia, PA;60000;90000;75000
508;Wolfe & Huntsman LLC;Senior Business Systems Architect (Hadoop Developer);Philadelphia, PA;155000;0;155000
512;NewAgeSys,Inc;Scientist II;Spring House, PA;60000;0;60000
537;Real Staffing;Lead Statistical Programmer;Fort Washington, PA;100000;120000;110000
0;Emory University;Scientist, Med Imag Analysis;Atlanta, GA;69900;0;69900
52;Analytic Recruiting;Data Scientist - Supply Chain;Atlanta, GA;70000;145000;107500
187;Lighthouse Recruiting;Certifying Scientist;Smyrna, GA 30082;55000;70000;62500
215;Centers for Disease Control and Prevention;Epidemiologist;Atlanta, GA;74260;96538;85399
219;Analytic Recruiting;Senior Data Scientist;Atlanta, GA;100000;125000;112500
257;Synergy Search Group;Audit Snr (Banking) - Data Analysis 60K-80K;Atlanta, GA;80000;0;80000
272;Ga. Dept. of Admin. Services;Statistical Data Analyst;Atlanta, GA;36000;46000;41000
274;Centers for Disease Control and Prevention;Mathematical Statistician;Atlanta, GA;74260;114802;94531
